Area,Year,Quarter,Overall_hpi,Overall_YoY,Low_hpi,Low_YoY,Mid_hpi,Mid_YoY,High_hpi,High_YoY
"Amarillo",2004,1,100.000000000,,,,,,,
"Amarillo",2004,2,101.336392453,,,,,,,
"Amarillo",2004,3,101.681335934,,,,,,,
"Amarillo",2004,4,103.181833577,,,,,,,
"Amarillo",2005,1,104.128278047,0.041282780,,,,,,
"Amarillo",2005,2,106.776622305,0.053684858,,,,,,
"Amarillo",2005,3,108.113813862,0.063261146,,,,,,
"Amarillo",2005,4,109.107525138,0.057429601,,,,,,
"Amarillo",2006,1,108.108960683,0.038228641,,,,,,
"Amarillo",2006,2,111.419584233,0.043482944,,,,,,
"Amarillo",2006,3,112.074621339,0.036635535,,,,,,
"Amarillo",2006,4,112.142296921,0.027814504,,,,,,
"Amarillo",2007,1,112.921738077,0.044517839,,,,,,
"Amarillo",2007,2,114.711713474,0.029547132,,,,,,
"Amarillo",2007,3,116.126641518,0.036154663,,,,,,
"Amarillo",2007,4,113.099823192,0.008538493,,,,,,
"Amarillo",2008,1,113.973898124,0.009317604,,,,,,
"Amarillo",2008,2,115.476702575,0.006668796,,,,,,
"Amarillo",2008,3,115.688116130,-0.003776268,,,,,,
"Amarillo",2008,4,113.231399403,0.001163363,,,,,,
"Amarillo",2009,1,112.952708483,-0.008959855,,,,,,
"Amarillo",2009,2,114.065612413,-0.012219695,,,,,,
"Amarillo",2009,3,113.600193006,-0.018047861,,,,,,
"Amarillo",2009,4,115.386910502,0.019036337,,,,,,
"Amarillo",2010,1,112.781990164,-0.001511414,,,,,,
"Amarillo",2010,2,114.543782091,0.004192058,,,,,,
"Amarillo",2010,3,114.869377850,0.011172382,,,,,,
"Amarillo",2010,4,113.496558197,-0.016382727,,,,,,
"Amarillo",2011,1,112.980640405,0.001761364,,,,,,
"Amarillo",2011,2,113.859881638,-0.005970646,,,,,,
"Amarillo",2011,3,114.011966819,-0.007464226,,,,,,
"Amarillo",2011,4,112.511590807,-0.008678389,,,,,,
"Amarillo",2012,1,114.691350688,0.015141623,,,,,,
"Amarillo",2012,2,115.253233499,0.012237425,,,,,,
"Amarillo",2012,3,115.903705509,0.016592457,,,,,,
"Amarillo",2012,4,115.671237076,0.028082851,,,,,,
"Amarillo",2013,1,116.775390358,0.018170852,,,,,,
"Amarillo",2013,2,118.339532082,0.026778412,,,,,,
"Amarillo",2013,3,118.756970050,0.024617543,,,,,,
"Amarillo",2013,4,118.439021318,0.023928024,,,,,,
"Amarillo",2014,1,118.694345767,0.016432875,,,,,,
"Amarillo",2014,2,121.819519686,0.029406805,,,,,,
"Amarillo",2014,3,122.384738870,0.030547839,,,,,,
"Amarillo",2014,4,120.297440980,0.015690940,,,,,,
"Amarillo",2015,1,122.346477318,0.030769212,,,,,,
